"Code d'organisme";"Nom d'organisme officiel";"Code organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Nom du directeur";"Prénom du directeur";"Appellation";"Titre de l'intervenant";"Circonscription électorale provinciale";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Région administrative";"Latitude";"Longitude";"Municipalité de l'adresse géographique";"Français";"Anglais";
"932020";"Centre de géomatique du Québec inc.";"932002";"cgq@cgq.qc.ca";"www.cgq.qc.ca";"32";"Public";"Centre coll de transfert tech.";"4186985995";"1621";"(418) 698-4108";"Dallaire";"17";"Mme.";"Directrice générale";"25";"G7H1Z6";"534, rue Jacques-Cartier Est";"2";"48.421";"-71.066";"7";"Non";"Non";
"885026";"Centre de la Nature et des Sciences d'Arundel";"885000";"";"swlauriersb.qc.ca";"7";"Public";"École";"4506215600";"";"";"Vucko";"Stephanie";"Mme.";"Directrice Generale";"4";"J0T1A0";"235 Montée Lesage";"15";"45.971";"-74.608";"Arundel";"Non";"Oui";
"888404";"Centre d'électrotechnologie Pearson";"888000";"";"";"8";"Public";"Centre de formation prof.";"5147981818";"";"(514) 634-8146";"Oliver";"30";"M.";"";"69";"H8T1M7";"5000, rue René-Huguet";"6";"45.442";"-73.696";"Lachine";"Non";"Oui";
"883301";"Centre de l'éducation aux adultes New Horizons";"883000";"brayd@etsb.qc.ca";"newhorizons.etsb.qc.ca/";"16";"Public";"Centre éducation des adultes";"8195660250";"";"(819) 566-2658";"Faucher";"Camille";"Mme.";"Directeur";"110";"J1K1L1";"2365, rue Galt Ouest";"5";"45.389";"-71.948";"5";"Oui";"Oui";
"831310";"Centre de l'éducation des adultes Compétences 2000";"831000";"cfc2000@cslaval.qc.ca";"";"16";"Public";"Centre éducation des adultes";"4506627000";"2000";"(450) 662-5747";"17";"7";"M.";"Directeur";"62";"H7N4G1";"777, avenue Bois-de-Boulogne";"13";"45.564";"-73.725";"2";"Oui";"Oui";
"905091";"Centre de métallurgie du Québec";"905000";"gheorghe.marin@cegeptr.qc.ca";"www.cmqtr.qc.ca";"32";"Public";"Centre coll de transfert tech.";"8193768707";"";"(819) 376-0229";"Marin";"Gheorghe";"M.";"Directeur ";"70";"G9A5E1";"3095, rue Westinghouse Parc industriel des Hautes Forges";"4";"46.328";"-72.567";"6";"Non";"Non";
"928003";"Centre d'enseignement en soins infirmiers de Sainte-Agathe-des-Monts";"928000";"";"www.cstj.qc.ca";"32";"Public";"Centre d'enseignement";"4504361580";"5353";"(450) 565-6622";"Aitken";"9";"Mme.";"Directrice-adjointe des études,  Centre collégial de Mont-Tremblant (CCMT)";"11";"J8C2H9";"619, boul. du Docteur-Gervais";"15";"46.044";"-74.271";"65";"Oui";"Non";
"903090";"Centre d'enseignement et de recherche en foresterie de Ste-Foy  inc.";"903000";"info@cegep-ste-foy.qc.ca";"www.cerfo.qc.ca/";"32";"Public";"Centre coll de transfert tech.";"4186594225";"";"(418) 659-4226";"Durand";"8";"M.";"Directeur général";"49";"G1V1T2";"2424, chemin Sainte-Foy";"3";"46.791";"-71.264";"1";"Non";"Non";
"932030";"Centre de production automatisée (CPA)";"932003";"gilbert.grenon@cjonquiere.qc.ca";"cpa.cjonquiere.qc.ca/";"32";"Public";"Centre coll de transfert tech.";"4185472191";"372";"(418) 542-6818";"Grenon";"Gilbert";"M.";"Directeur";"52";"G7X0E5";"3780, rue Panet";"2";"48.379";"-71.382";"7";"Non";"Non";
"904090";"Centre de productique intégrée du Québec inc.";"904000";"info@productique.qc.ca";"www.productique.qc.ca";"32";"Public";"Centre coll de transfert tech.";"8198228998";"";"(819) 823-9864";"Charron";"Gilles";"M.";"Directeur ";"100";"J1G4L3";"720, rue Longpré";"5";"45.406";"-71.838";"5";"Non";"Non";
"831113";"Centre de qualification professionnel et d'entrepreneuriat de Laval";"831000";"levirage@cslaval.qc.ca";"";"4";"Public";"École";"4506627000";"4500";"(450) 662-7034";"Dermers";"10";"M.";"Directeur";"62";"H7G2C8";"200, boulevard de la Concorde Est";"13";"45.591";"-73.694";"2";"Oui";"Non";
"831360";"Centre de qualification professionnelle et d'entrepreneuriat de Laval";"831000";"cqualification@cslaval.qc.ca";"www.cslaval.qc.ca/cqualification";"16";"Public";"Centre éducation des adultes";"4506627000";"4500";"(450) 662-7034";"Laroche";"Lise";"Mme.";"Directrice";"62";"H7G2C8";"200, boulevard de la Concorde Est";"13";"45.591";"-73.694";"2";"Oui";"Non";
"886024";"Centre de Réadaptation les jeunes de l'Outaouais";"886000";"";"";"4";"Public";"École";"8197782099";"";"(819) 778-2726";"Lothian";"Marian";"Mme.";"";"42";"J8Z2A7";"150, chemin Freeman";"7";"45.468";"-75.738";"3";"Non";"Oui";
"917090";"Centre de recherche pour l'inclusion scolaire et professionnelle des étudiants en situation de handicap";"917000";"";"www.cvm.qc.ca";"32";"Public";"Centre coll de transfert tech.";"5149823437";"";"(514) 982-3404";"Henderson";"Thomas";"M.";"Directeur";"106";"H2X1X6";"255, rue Ontario Est";"6";"45.51";"-73.56";"0";"Oui";"Non";
"762310";"Centre de ressources éducatives et pédagogiques (CREP)";"762000";"crep@csdm.qc.ca";"www.csdm.qc.ca/crep/";"16";"Public";"Centre éducation des adultes";"5145964567";"";"(514) 596-4561";"34";"Laurent";"M.";"Directeur";"97";"H1Y1H2";"3000, rue Beaubien Est";"6";"45.545";"-73.567";"0";"Oui";"Oui";
"921090";"Centre de robotique et de vision industrielles inc.";"921000";"";"www.crvi.ca";"32";"Public";"Centre coll de transfert tech.";"4188331965";"";"(418) 833-8726";"Bordeleau";"0";"M.";"Directeur général";"64";"G6V6Z9";"205, rue Mgr Bourget";"12";"46.825";"-71.15";"8";"Non";"Non";
"932011";"Centre de Saint-Félicien (anglophone)";"932004";"";"www.cstfelicien.qc.ca";"32";"Public";"Centre d'enseignement";"4186795412";"";"(418) 679-0238";"28";"Louis";"M.";"Directeur général";"96";"G8K2R8";"1105, boulevard Hamel C.P. 7300";"2";"48.639";"-72.418";"STFélicien";"Non";"Oui";
"869301";"Centre des Belles-Rives";"869000";"belles-rives@cstrois-lacs.qc.ca";"www.cstrois-lacs.qc.ca/belles-rives/";"16";"Public";"Centre éducation des adultes";"5144777020";"5121";"(450) 455-2367";"Legault";"Michelle";"Mme.";"Directrice de centres";"119";"J7V6B1";"400, avenue Saint-Charles";"16";"45.377";"-73.946";"61";"Oui";"Oui";
"886321";"Centre des Carrières Western Québec";"886000";"wqcc@wqsb.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8196841770";"";"(819) 684-5350";"Curley";"Damian";"M.";"";"87";"J9H4A6";"100, avenue Frank Robinson";"7";"45.388";"-75.831";"3";"Oui";"Oui";
"886421";"Centre des Carrières Western Québec";"886000";"wqcc@wqsb.qc.ca";"";"8";"Public";"Centre de formation prof.";"8196841770";"";"(819) 684-5350";"Curley";"Damian";"M.";"";"87";"J9H4A6";"100, avenue Frank Robinson";"7";"45.388";"-75.831";"3";"Non";"Oui";
"722487";"Centre des services aux entreprises";"722000";"forgescom@cslsj.qc.ca";"www.cslacst-jean.qc.ca/cefpa/index.htm";"8";"Public";"Centre de formation prof.";"4186696040";"4001";"(418) 669-6340";"4";"2";"Mme.";"Directrice du service de l'éducation aux adultes";"54";"G8B2B6";"650, boulevard Auger Ouest";"2";"48.567";"-71.641";"29";"Oui";"Non";
"912090";"Centre des technologies de l'eau";"912000";"info@cteau.com";"www.cegep-st-laurent.qc.ca";"32";"Public";"Centre coll de transfert tech.";"5147476521";"4000";"(514) 747-2783";"20";"28";"M.";"Directeur de la formation continue";"105";"H4L3Y2";"696, avenue Sainte-Croix 2e étage";"6";"45.506";"-73.675";"0";"Non";"Non";
"924090";"Centre de technologie minérale et de plasturgie inc.";"924000";"";"www.ctmp.ca";"32";"Public";"Centre coll de transfert tech.";"4183386410";"307";"(418) 338-9584";"Rochette";"2";"Mme.";"Directrice générale";"65";"G6G1N1";"671, boulevard Frontenac Ouest Porte 7C";"12";"46.174";"-71.445";"59";"Non";"Non";
"887405";"Centre de technologie Rosemont";"887000";"rtc@emsb.qc.ca";"www.rosemount-technology.qc.ca/";"8";"Public";"Centre de formation prof.";"5143764725";"";"(514) 376-9736";"Michalopoulos";"Harry";"M.";"Directeur";"97";"H1X1H2";"3737, rue Beaubien Est";"6";"45.556";"-73.573";"0";"Non";"Oui";
"907091";"Centre de transfert technologique en écologie industrielle, centre J-E. Simard";"907002";"cttei@cegepst.qc.ca";"www.cttei.qc.ca";"32";"Public";"Centre coll de transfert tech.";"4507426651";"5301";"(450) 730-0867";"Gignac";"14";"Mme.";"Directrice générale";"91";"J3R5B9";"3000, boul. de Tracy";"16";"46.011";"-73.148";"58";"Oui";"Non";
"915090";"Centre d'étude en responsabilité sociale et écocitoyenneté (CÉRSÉ)";"915000";"aatwood@crosemont.qc.ca";"www.crosemont.qc.ca";"32";"Public";"Centre coll de transfert tech.";"5143761620";"7382";"(514) 376-1440";"Atwood";"Audrey";"Mme.";"Directrice";"97";"H1X2S9";"6400, 16e Avenue Cégep de Rosemont";"6";"45.556";"-73.573";"0";"Oui";"Non";
"932006";"Centre d'études collégiales à Chibougamau";"932004";"dmeilleur@cstfelicien.qc.ca";"www.cec-chibougamau.qc.ca/";"32";"Public";"Centre d'enseignement";"4187487637";"";"(418) 748-7238";"James";"Gary";"M.";"Directeur des études";"116";"G8P2E9";"110, rue Obalski";"10";"49.911";"-74.358";"37";"Oui";"Non";
"900004";"Centre d'études collégiales Carleton-sur-mer";"900000";"infocec@cegepgim.ca";"www.cegepgim.ca/carleton/index.php";"32";"Public";"Centre d'enseignement";"4183643341";"7221";"(418) 364-7938";"Leblanc Perreault";"Françoise";"Mme.";"Directrice";"13";"G0C1J0";"Case postale 1000";"11";"48.611";"-64.303";"36";"Oui";"Non";
"932012";"Centre d'études collégiales de Forestville";"932002";"Louiselle.Jean@csestuaire.qc.ca";"";"32";"Public";"Centre d'enseignement";"4155872235";"";"(418) 587-6535";"Jean";"Louiselle";"Mme.";"Coordonnatrice";"89";"G0T1E0";"16, 5e Avenue Case postale 668";"9";"48.764";"-69.722";"Forestville";"Oui";"Non";
"937001";"Centre d'études collégiales de Lac-Mégantic";"937000";"ceclm@cegepbceapp.qc.ca";"www.cec.lacmegantic.qc.ca";"32";"Public";"Centre d'enseignement";"8195835432";"";"(819) 554-8415";"";"";"";"";"73";"G6B2A3";"4409, rue Dollard";"5";"45.567";"-70.887";"Lac-Mégantic";"Oui";"Non";
"906001";"Centre d'études collégiales de La Tuque";"906000";"jocelynecaron@collegeshawinigan.qc.ca";"www.collegeshawinigan.qc.ca";"32";"Public";"Centre d'enseignement";"8195239531";"";"(819) 523-9532";"";"";"";"";"63";"G9X1L4";"376, rue Saint-Joseph";"4";"47.434";"-72.82";"La Tuque";"Oui";"Non";
"919003";"Centre d'études collégiales de Maniwaki";"919000";"";"www.cegepoutaouais.ca/";"32";"Public";"Centre d'enseignement";"8197704012";"";"(819) 770-8167";"";"";"";"";"37";"J9E1H5";"333, boul. de la Cité-des-Jeunes";"7";"46.396";"-76.036";"Maniwaki";"Oui";"Non";
"923001";"Centre d'études collégiales de Montmagny";"923000";"";"www.cec.montmagny.qc.ca";"32";"Public";"Centre d'enseignement";"4182487164";"";"(418) 248-9484";"Gignac";"Steve";"M.";"Directeur du Centre d'études collégiales de Montmagny";"28";"G5V4J8";"115, boulevard Taché est";"12";"46.984";"-70.55";"51";"Oui";"Non";
"900006";"Centre d'études collégiales des Îles-de-la-Madeleine";"900000";"infoiles@cegepgim.ca";"www.cegepgim.ca/iles/index.php";"32";"Public";"Centre d'enseignement";"4189865187";"6222";"(418) 986-6788";"Rochon";"31";"M.";"Directeur général par intérim";"45";"G4T3X4";"15, chemin de la Piscine Case postale 238";"11";"47.247";"-61.975";"69";"Oui";"Non";
"933003";"Centre d'études collégiales des Premières Nations (anglophone)";"933000";"info@cepn-fnec.com";"www.ippn-fnpi.com";"32";"Public";"Centre d'enseignement";"4505686464";"";"";"";"";"";"";"81";"J0G1H0";"1205, route Marie-Victorin";"17";"46.023";"-72.799";"Odanak";"Non";"Oui";
"920004";"Centre d'études collégiales des Premières Nations (francophone)";"920000";"info@cepn.fnec.com";"www.ippn-fnpi.com";"32";"Public";"Centre d'enseignement";"4505686464";"";"";"";"";"";"";"81";"J0G1H0";"1205, route Marie-Victorin";"17";"46.023";"-72.799";"Odanak";"Oui";"Non";
"932007";"Centre d'études collégiales en Charlevoix";"932003";"diane.harvey@cjonquiere.qc.ca";"www.ceccharlevoix.qc.ca";"32";"Public";"Centre d'enseignement";"4186656606";"222";"(418) 665-7106";"Guay";"7";"M.";"Directeur";"22";"G5A2X7";"855, rue Richelieu (Pointe-au-Pic)";"3";"47.721";"-70.143";"La Malbaie";"Oui";"Non";
"887407";"Centre d'études commerciales John F. Kennedy";"887000";"jfkadult@emsb.qc.ca";"";"8";"Public";"Centre de formation prof.";"5143742888";"";"(514) 374-2226";"David";"Rick";"M.";"";"122";"H2A1E7";"3030, rue Villeray";"6";"45.566";"-73.6";"0";"Non";"Oui";
"887403";"Centre d'études commerciales Shadd";"887000";"shadd@emsb.qc.ca";"";"8";"Public";"Centre de formation prof.";"5144840485";"";"(514) 484-5788";"Crigna";"Silvanna";"Mme.";"Directrice";"82";"H4A3A4";"1000, avenue Old Orchard";"6";"45.478";"-73.625";"0";"Non";"Oui";
"916090";"Centre d'études en procédés chimiques du Québec (CÉPROCQ)";"916000";"";"www.cmaisonneuve.qc.ca/icp/ceprocq.html";"32";"Public";"Centre coll de transfert tech.";"5142554444";"";"(514) 255-1234";"Boumghar";"Yacine";"M.";"Directeur";"16";"H1N1C1";"6220, rue Sherbrooke Est";"6";"45.589";"-73.535";"0";"Non";"Non";
"852400";"Centre d'études professionnelles";"852000";"";"www.csrdn.qc.ca/cep/";"8";"Public";"Centre de formation prof.";"4505650006";"";"(450) 565-8422";"Louis-Seize";"Eric";"M.";"Directeur";"104";"J5L2P4";"917, montée Saint-Nicolas";"15";"45.78";"-74.036";"15";"Oui";"Non";
"753403";"Centre d'excellence en formation industrielle";"753000";"cfpmorilac@csdessommets.qc.ca";"";"8";"Public";"Centre de formation prof.";"8198471610";"17001";"(819) 845-1001";"34";"5";"Mme.";"";"92";"J1S2X8";"100, rue Boisjoli";"5";"45.579";"-71.997";"Windsor";"Oui";"Non";
"931091";"Centre d'expérimentation et de développement en forêt boréale (CEDFOB)";"931001";"cedfob@cedfob.qc.ca";"www.cedfob.qc.ca";"32";"Public";"Centre coll de transfert tech.";"4182952240";"";"(418) 295-2240";"Cosgrove";"Michael";"M.";"Directeur général";"89";"G5C2B2";"537, boulevard Blanche";"9";"49.199";"-68.292";"32";"Non";"Non";
"900093";"Centre d'initiation à la recherche et d'aide au développement durable (CIRADD)";"900000";"dbourdages@cegepgim.ca";"www.ciradd.ca";"32";"Public";"Centre coll de transfert tech.";"4183643341";"7255";"(418) 364-7938";"Bourdages";"David";"M.";"Directeur";"13";"G0C1J0";"776, boulevard Perron Campus de Carleton-sur-Mer";"11";"48.611";"-64.303";"36";"Oui";"Non";
"911090";"Centre d'innovation en microélectronique du Québec (CIMEQ)";"911000";"info@cimeq.qc.ca";"www.cimeq.qc.ca";"32";"Public";"Centre coll de transfert tech.";"4509717820";"";"(450) 971-7802";"Verdy Goyette";"12";"M.";"Directeur général";"40";"J7E5B3";"150, rue Duquet";"15";"45.638";"-73.841";"56";"Non";"Non";
"925091";"Centre d'innovation sociale en agriculture";"925000";"information@cgpvicto.qc.ca";"";"32";"Public";"Centre coll de transfert tech.";"8197586401";"2449";"(819) 758-6026";"Dugré";"Simon";"M.";"Coordonnateur";"5";"G6P4B3";"475, rue Notre-Dame Est";"17";"46.047";"-71.913";"24";"Oui";"Non";
"037501";"Centre d'intégration scolaire inc.";"037500";"ychouinard@cisi.qc.ca";"www.cisi.qc.ca";"6";"Privé";"Installation";"5143748490";"222";"(514) 374-3978";"Chouinard";"Ysabelle";"Mme.";"Directrice- générale";"97";"H1Y2R7";"6361, 6e Avenue";"6";"45.545";"-73.567";"0";"Oui";"Non";
"762232";"Centre Dollard-Cormier";"762000";"";"";"4";"Public";"École";"5149824531";"";"(514) 596-7966";"Desrochers";"Céline";"Mme.";"Directrice";"124";"H2X2N7";"3530, rue Saint-Urbain";"6";"45.51";"-73.56";"0";"Oui";"Non";
"041501";"Centre éducatif Chante Plume";"041500";"varennes@visionschools.com";"www.visionschools.com";"3";"Privé";"Installation";"4506526869";"";"(450) 652-5773";"Cardin";"Colette";"Mme.";"Directrice";"120";"J3X1Z5";"104, boulevard de la Marine";"16";"45.682";"-73.434";"Varennes";"Oui";"Oui";
"041502";"Centre éducatif Chante Plume";"041500";"varennes@visionschools.com";"www.visionschools.com";"2";"Privé";"Installation";"4506526869";"";"(450) 652-5773";"Cardin";"Colette";"Mme.";"Directrice";"120";"J3X1Z5";"104, boulevard de la Marine";"16";"45.682";"-73.434";"Varennes";"Oui";"Oui";
"792049";"Centre éducatif l'Abri";"792000";"";"www.csdufer.qc.ca/pagesfr/Ecoles/secela.htm";"4";"Public";"École";"4187667171";"";"(418) 766-6985";"Maloney";"Philippe";"M.";"Directeur";"34";"G5B2N4";"18, boulevard des Îles";"9";"50.023";"-66.863";"Port-Cartier";"Oui";"Non";
"731001";"Centre éducatif Saint-Aubin";"731000";"chantal.deblois@cscharlevoix.qc.ca";"www.cscharlevoix.qc.ca/commission/etablissements/ecoles/staubin.html";"4";"Public";"École";"4184356802";"2100";"(418) 435-6973";"Deblois";"5";"Mme.";"Directrice d'école";"22";"G3Z2R2";"50, rue Racine";"3";"47.453";"-70.513";"Baie-STPaul";"Oui";"Non";
"782391";"Centre Élisabeth-Bruyère";"782000";"cebruyere@csrn.qc.ca";"www.csrn.qc.ca/cebruyere/";"16";"Public";"Centre éducation des adultes";"8197628161";"1091";"(819) 797-6689";"Hurtubise";"Jocelyne";"Mme.";"Directrice centre éducation des adultes";"99";"J9X5C9";"70, rue des Oblats Est C.P. 908";"8";"48.238";"-79.02";"26";"Oui";"Non";
"903091";"Centre en imagerie numérique et médias interactifs (CIMMI)";"903000";"mrbouchard@cimmi.qc.ca";"www.cimmi.qc.ca";"32";"Public";"Centre coll de transfert tech.";"4187812464";"";"(418) 781-2324";"4";"Michel R.";"M.";"Directeur général";"118";"G1P4R1";"2750, rue Einstein Bureau 370";"3";"46.819";"-71.325";"1";"Non";"Non";
"762332";"Centre Eulalie-Durocher FGA";"762000";"c-edurocher@csdm.qc.ca";"www.csdm.qc.ca/edurocher/";"16";"Public";"Centre éducation des adultes";"5145964949";"";"(514) 596-4960";"17";"Amélie";"Mme.";"Directrice";"41";"H1V2N9";"2455, avenue Létourneux";"6";"45.56";"-73.539";"0";"Oui";"Oui";
"044501";"Centre François-Michelle, préscolaire-primaire";"044500";"info@francois-michelle.qc.ca";"www.francois-michelle.qc.ca";"3";"Privé";"Installation";"5143814418";"223";"(514) 381-2895";"Bénard";"21";"Mme.";"directrice générale";"2";"H3L2Z1";"10095, rue Meunier";"6";"45.539";"-73.662";"0";"Oui";"Non";
"044502";"Centre François-Michelle, secondaire 1er cycle";"044500";"info@francois-michelle.qc.ca";"www.francois-michelle.qc.ca";"4";"Privé";"Installation";"5143814418";"223";"(514) 381-2895";"Bénard";"21";"Mme.";"directrice générale";"84";"H2V3Y1";"5210, rue Durocher";"6";"45.516";"-73.608";"0";"Oui";"Non";
"044504";"Centre François-Michelle, secondaire 2e cycle";"044500";"info@francois-michelle.qc.ca";"";"4";"Privé";"Installation";"5143814418";"223";"(514) 281-2895";"Bilodeau";"7";"M.";"Directeur";"2";"H2N2K3";"9275, rue Clark";"6";"45.541";"-73.651";"0";"Oui";"Non";
"781357";"Centre Frère-Moffet";"781000";"centre.frere-moffet@cslactem.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8196292144";"";"(866) 415-2750";"14";"Marie Luce";"Mme.";"Directrice de l'Éducation des adultes";"99";"J9V1X7";"9, rue Notre-Dame-de-Lourdes";"8";"47.338";"-79.461";"Ville-Marie";"Oui";"Oui";
"781457";"Centre Frère-Moffet";"781000";"centre.frere-moffet@cslactem.qc.ca";"";"8";"Public";"Centre de formation prof.";"8196292144";"";"(866) 415-2750";"14";"Marie Luce";"Mme.";"Directrice de l'Éducation des adultes";"99";"J9V1X7";"9, rue Notre-Dame-de-Lourdes";"8";"47.338";"-79.461";"Ville-Marie";"Oui";"Non";
"762340";"Centre Gabrielle-Roy";"762000";"c-g.roy@csdm.qc.ca";"www.csdm.qc.ca/gabrielle-roy/";"16";"Public";"Centre éducation des adultes";"5145964455";"";"(514) 596-4449";"23";"Andrée";"Mme.";"Directrice";"122";"H1Z3G1";"8699, boulevard Saint-Michel";"6";"45.585";"-73.652";"0";"Oui";"Oui";
"762343";"Centre Gédéon-Ouimet";"762000";"c-gouimet@csdm.qc.ca";"www.csdm.qc.ca/gedeonouimet/";"16";"Public";"Centre éducation des adultes";"5145964514";"";"(514) 596-4521";"Dutil";"35";"Mme.";"Directrice";"106";"H2K3H2";"1960, rue Poupart";"6";"45.528";"-73.56";"0";"Oui";"Oui";
"887259";"Centre Horizons de la Jeunesse - Programme Focus";"887000";"contact@emsb.qc.ca";"";"4";"Public";"École";"5144811818";"";"(514) 481-0523";"Talevi";"Michael (Interim)";"M.";"Directeur";"82";"H4V2E2";"4850, avenue Coronation";"6";"45.467";"-73.65";"0";"Non";"Oui";
"864171";"Centre hospitalier Charles-LeMoyne";"864000";"centre_charles_lemoyne@csmv.qc.ca";"";"6";"Public";"École";"4504665000";"2724";"(450) 671-2806";"20";"31";"M.";"Responsable du Centre hospitalier Charles-LeMoyne";"58";"J4V2H1";"3120, boulevard Taschereau (Greenfield park)";"16";"45.486";"-73.459";"4";"Oui";"Non";
"752102";"Centre hospitalier universitaire de Sherbrooke (Site Fleurimont)";"752000";"";"";"7";"Public";"École";"8193461110";"15502";"";"Arsenault";"Éliane";"Mme.";"Directrice";"100";"J1H5N4";"3001, 12e Avenue Nord 5e pédiatrie, bureau 4504";"5";"45.397";"-71.888";"5";"Oui";"Non";
"763413";"Centre intégré de mécanique, de métallurgie et d'électricité (CIMME)";"763000";"Direction.CIMME@csmb.qc.ca";"www2.csmb.qc.ca/cimme/";"8";"Public";"Centre de formation prof.";"5143645300";"";"(514) 364-6228";"Robitaille";"31";"M.";"Directeur";"67";"H8N3E6";"1100, rue Ducas";"6";"45.447";"-73.631";"0";"Oui";"Oui";
"823423";"Centre intégré de mécanique industrielle de la Chaudière";"823000";"cfp.cimic@csbe.qc.ca";"www.csbe.qc.ca/dbweb/scripto.exe?function=validation3&resultat=-664815";"8";"Public";"Centre de formation prof.";"4182281993";"";"(418) 228-1739";"Quirion";"Stephane";"M.";"Directeur";"7";"G5Y8B8";"11700, 25e Avenue";"12";"46.126";"-70.685";"54";"Oui";"Non";
"773370";"Centre La Cité";"773000";"deschamps.fernand@cscv.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8192812054";"";"(819) 281-5511";"Gobeil";"25";"M.";"Directeur de centre";"85";"J8M1C3";"50, rue des Servantes";"7";"45.526";"-75.481";"3";"Oui";"Oui";
"841301";"Centre la Croisée";"841000";"cfg-delacroisee@csaffluents.qc.ca";"";"16";"Public";"Centre éducation des adultes";"4504923799";"232";"(450) 582-7041";"42";"23";"M.";"Directeur";"90";"J5Y1A2";"777, boulevard Iberville";"14";"45.789";"-73.411";"12";"Oui";"Oui";
"762312";"Centre Lartigue";"762000";"c-lartigue@csdm.qc.ca";"www.csdm.qc.ca/lartique/";"16";"Public";"Centre éducation des adultes";"5145964433";"";"(514) 596-4437";"40";"33";"M.";"Direction";"106";"H2K4J5";"2217, avenue Papineau";"6";"45.528";"-73.56";"0";"Oui";"Oui";
"841300";"Centre l'Avenir";"841000";"cfg-L'avenir@csaffluents.qc.ca";"www.csaffluents.qc.ca/avenir/index.html";"16";"Public";"Centre éducation des adultes";"4504923737";"1235";"(450) 966-1464";"Barrette";"Eric";"M.";"Directeur";"114";"J6W2Z3";"508 Masson";"14";"45.706";"-73.619";"10";"Oui";"Oui";
"752367";"Centre Le Goéland";"752000";"goeland@csrs.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8198225505";"16711";"(819) 822-5562";"Potvin";"Claudie";"Mme.";"";"110";"J1J3P9";"90, rue de l'Ontario";"5";"45.398";"-71.913";"5";"Oui";"Oui";
"781363";"Centre l'Envol";"781000";"centre.envol@cslactem.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8196279558";"";"(819) 627-1921";"14";"Marie Luce";"Mme.";"Directrice de l'Éducation des adultes";"99";"J0Z3R0";"451, chemin Kipawa Case postale 952";"8";"47.539";"-79.242";"Témiscaming";"Oui";"Oui";
"781463";"Centre l'Envol";"781000";"centre.envol@cslactem.qc.ca";"";"8";"Public";"Centre de formation prof.";"8196279558";"";"(819) 627-1921";"14";"Marie Luce";"Mme.";"Directrice de l'Éducation des adultes";"99";"J0Z3R0";"451, chemin Kipawa Case postale 952";"8";"47.539";"-79.242";"Témiscaming";"Oui";"Oui";
"771350";"Centre l'Escale";"771000";"escale@csdraveurs.qc.ca";"www.csdraveurs.qc.ca/escale/";"16";"Public";"Centre éducation des adultes";"8192432151";"";"(819) 243-0624";"20";"Leeza M.";"Mme.";"Directrice";"20";"J8T3N5";"85, rue Du Barry";"7";"45.476";"-75.676";"3";"Oui";"Oui";
"831340";"Centre Le Tremplin";"831000";"le-tremplin@cslaval.qc.ca";"www.cslaval.qc.ca/leTremplin/";"16";"Public";"Centre éducation des adultes";"4506627000";"3099";"(450) 625-1068";"Champagne";"8";"M.";"Directeur";"108";"H7L2S9";"2475, rue Honoré-Mercier";"13";"45.592";"-73.796";"2";"Oui";"Oui";
"773380";"Centre Le Vallon";"773000";"eco080@cscv.qc.ca";"";"16";"Public";"Centre éducation des adultes";"8194276266";"6200";"(819) 427-8567";"Gobeil";"25";"M.";"Directeur de centre";"85";"J0V1R0";"104, Allée des Montfortains Nord";"7";"45.487";"-73.454";"Papineauville";"Oui";"Oui";
"831330";"Centre L'Impulsion";"831000";"l'impulsion@cslaval.qc.ca";"www.cslaval.qc.ca/impulsion/";"16";"Public";"Centre éducation des adultes";"4506627000";"3299";"(450) 664-0546";"Picard";"Jocelyne";"Mme.";"Directrice";"75";"H7E2R3";"3995, boulevard Lévesque Est";"13";"45.624";"-73.686";"2";"Oui";"Oui";
"732382";"Centre Louis-Jolliet";"732000";"clj@cscapitale.qc.ca";"www.cscapitale.qc.ca/louis-jolliet/";"16";"Public";"Centre éducation des adultes";"4185258230";"";"(418) 525-8772";"3";"35";"Mme.";"Directrice";"47";"G1L4M1";"1201, rue de la Pointe-aux-Lièvres";"3";"46.834";"-71.26";"1";"Oui";"Oui";
"762349";"Centre Marie-Anne FGA";"762000";"marieanne@csdm.qc.ca";"www.csdm.qc.ca/MarieAnne/";"16";"Public";"Centre éducation des adultes";"5145965460";"";"(514) 596-4797";"24";"Claire";"Mme.";"Directrice";"29";"H3L1H1";"100, rue Sauvé Est";"6";"45.539";"-73.662";"0";"Oui";"Oui";
"762315";"Centre Marie-Médiatrice";"762000";"c-mariemed@csdm.qc.ca";"www.csdm.qc.ca/marie-mediatrice";"16";"Public";"Centre éducation des adultes";"5145965150";"";"(514) 596-4630";"Deraps";"24";"Mme.";"Directrice";"38";"H2G2J5";"6200, rue des Écores";"6";"45.515";"-73.55";"0";"Oui";"Oui";
