"Code d'organisme";"Nom courant";"Nom d'organisme officiel";"Code organisme responsable";"Nom d'organisme responsable";"Adresse de courrier electronique";"Adresse de site WEB";"Direction régionale";"Région administrative";"Ordre d'appartenance";"Réseau d'enseignement";"Type d'organisme";"Numéro de téléphone";"Numéro de poste téléphone";"Numéro de télécopieur";"Numéro - nom de rue et casier postal de l'adresse géographique";"Municipalité de l'adresse géographique";"Province de l'adresse géographique";"Code postal de l'adresse géographique";"Numéro - nom de rue et casier postal de l'adresse postale";"Municipalité de l'adresse postale";"Province de l'adresse postale";"Code postal de l'adresse postale";"Circonscription électorale provinciale";"Code de municipalité ISQ";"Fonction";"Titre de l'intervenant";"Titre court";"Appellation";"Nom du directeur";"Prénom du directeur";"Préscolaire";"Primaire";"Secondaire";"Éducation des adultes";"Formation professionnelle";"Collégial";"Universitaire";"Français";"Anglais";"Autres";
"711300";"Centre d'éducation des adultes de Matane";"Centre d'éducation des adultes de Matane";"711000";"CS des Monts-et-Marées";"fgamatane@csmm.qc.ca";"www.csmm.qc.ca/cea-matane";"Bas-St-Laurent Gasp. Île-Mad.";"Bas-Saint-Laurent";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 562-5383";"2700";"(418) 562-5386";"81, avenue D'Amours";"Matane";"Québec";"G4W 2X5";"81, avenue D'Amours";"Matane";"Québec";"G4W 2X5";"Matane-Matapédia";"08053";"Directeur";"Directeur de centre";"Directeur";"Mme.";"Marquis";"Clément";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"821383";"CEA de Montmagny-L'Islet-Nord";"Centre d'éducation des adultes de Montmagny - L'Islet-Nord";"821000";"CS de la Côte-du-Sud";"centrefgst-mathieu@cscotesud.qc.ca";"www.cscotesud.qc.ca/section/etablissement/cea/383_montmagny.html";"Capit.-Nation. et Chaud.-App.";"Chaudière-Appalaches";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 248-0181";"";"(418) 248-2673";"111, rue Saint-Pierre";"Montmagny";"Québec";"G5V 2P7";"111, rue Saint-Pierre";"Montmagny";"Québec";"G5V 2P7";"Côte-du-Sud";"18050";"Directeur";"Directrice d'école";"Directrice";"Mme.";"St-Pierre";"Line";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"882304";"CEA de New Richmond";"Centre d'éducation des adultes de New Richmond";"882000";"CS Eastern Shores";"marjorie.woodman@essb.qc.ca";"";"Bas-St-Laurent Gasp. Île-Mad.";"Gaspésie--Îles-de-la-Madeleine";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 392-4441";"";"(418) 392-5754";"163, boulevard Perron Ouest";"New Richmond";"Québec";"G0C 2B0";"163, boulevard Perron Ouest";"New Richmond";"Québec";"G0C 2B0";"Bonaventure";"05070";"";"";"";"";"";"";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"871301";"Centre d'éducation des adultes";"Centre d'éducation des adultes de Nicolet";"871000";"CS de la Riveraine";"educ.adultes@csriveraine.qc.ca";"";"Mauricie Centre-du-Québec";"Centre-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 293-5821";"2403";"(819) 293-5639";"1220, boulevard Louis-Fréchette";"Nicolet";"Québec";"J3T 1K6";"1220, boulevard Louis-Fréchette";"Nicolet";"Québec";"J3T 1K6";"Nicolet-Bécancour";"50072";"Directeur";"Directrice de la formation générale aux adultes";"Directrice";"Mme.";"Nault";"Francine";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"792318";"CEA de Port-Cartier";"Centre d'éducation des adultes de Port-Cartier";"792000";"CS du Fer";"";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 766-5335";"";"(418) 766-4236";"18, boulevard des Îles";"Port-Cartier";"Québec";"G5B 2N4";"18, boulevard des Îles";"Port-Cartier";"Québec";"G5B 2N4";"Duplessis";"97022";"Directeur";"directeur du Centre d'éducation des adultes et de la formation professionnelle";"directeur";"M.";"Gagnon";"Paul";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"769310";"CEA Puvirnituq";"Centre d'éducation des adultes de Puvirnituq";"769000";"CS Kativik";"";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 988-2269";"";"(819) 988-2204";"Puvirnituq";"Puvirnituq";"Québec";"J0M 1P0";"Puvirnituq";"Puvirnituq";"Québec";"J0M 1P0";"Ungava";"99120";"";"";"";"";"";"";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"769360";"CEA Quaqtaq";"Centre d'éducation des adultes de Quaqtaq";"769000";"CS Kativik";"louisa_oovaut@kativik.qc.ca";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 492-9955";"";"(819) 492-9971";"C.P. 108,Quaqtaq";"Quaqtaq";"Québec";"J0M 1J0";"C.P. 108,Quaqtaq";"Quaqtaq";"Québec";"J0M 1J0";"Ungava";"99115";"Directeur";"";"directrice";"Mme.";"Oovaut";"Louisa K.";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"864351";"CEA des 16 - 18 ans";"Centre d'éducation des adultes des 16 - 18 ans";"864000";"CS Marie-Victorin";"centre_des16_18ans@csmv.qc.ca";"http://educ.csmv.qc.ca/centre_1618";"Montérégie";"Montérégie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(450) 671-4463";"7505";"";"1940, boulevard Marie (Saint-Hubert)";"Longueuil";"Québec";"J4T 2A9";"1940, boulevard Marie (Saint-Hubert)";"Longueuil";"Québec";"J4T 2A9";"Laporte";"58227";"Directeur";"Directrice";"Directrice";"Mme.";"Tardif";"Geneviève";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"821361";"CEA de Saint-Paul";"Centre d'éducation des adultes de Saint-Paul";"821000";"CS de la Côte-du-Sud";"fgstpaul@cscotesud.qc.ca";"www.cscotesud.qc.ca/section/etablissement";"Capit.-Nation. et Chaud.-App.";"Capitale-Nationale";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 469-2117";"";"(418) 248-6211";"420, route 283";"Saint-Paul-de-Montminy";"Québec";"G0R 3Y0";"420, route 283";"Saint-Paul-de-Montminy";"Québec";"G0R 3Y0";"Côte-du-Sud";"18030";"Directeur";"Directrice d'école";"Directrice";"Mme.";"Nadeau";"Nadia";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"769380";"CEA Salluit Qaunnaq";"Centre d'éducation des adultes de Salluit Qaunnaq";"769000";"CS Kativik";"eva.quananack@kativik.qc.ca";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 255-8933";"";"(819) 255-8909";"Salluit";"Salluit";"Québec";"J0M 1S0";"Salluit";"Salluit";"Québec";"J0M 1S0";"Ungava";"99135";"Directeur";"directrice de centre";"dir.";"Mme.";"Alaku-Quananack";"Eva";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"733390";"CEA des Découvreurs";"Centre d'éducation des adultes des Découvreurs";"733000";"CS des Découvreurs";"secrephenix@csdecou.qc.ca";"http://phenix.csdecou.qc.ca/fr/";"Capit.-Nation. et Chaud.-App.";"Capitale-Nationale";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 652-2158";"105";"(418) 652-2160";"1094, route de l'Église";"Québec";"Québec";"G1V 3V9";"1094, route de l'Église";"Québec";"Québec";"G1V 3V9";"Jean-Talon";"23027";"Directeur";"";"";"Mme.";"Garcia";"Christine";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"811301";"Centre d'éducation des adultes des Îles";"Centre d'éducation des adultes des Îles";"811000";"CS des Îles";"";"http://www.csdesiles.qc.ca/cea/";"Bas-St-Laurent Gasp. Île-Mad.";"Gaspésie--Îles-de-la-Madeleine";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 986-5511";"2101";"(418) 986-3552";"50, chemin de la Martinique L'Étang-du-Nord";"Les Îles-de-la-Madeleine";"Québec";"G4T 3R7";"50, chemin de la Martinique L'Étang-du-Nord";"Les Îles-de-la-Madeleine";"Québec";"G4T 3R7";"Îles-de-la-Madeleine";"01023";"Directeur";"DC-DRM-SG et adjoint à la DG";"DC-DRM-SG et adjoint à la DG";"M.";"Chiasson";"Donald";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"824320";"CEA des Navigateurs";"Centre d'éducation des adultes des Navigateurs";"824000";"CS des Navigateurs";"cea.bateliers.st-romuald@csnavigateurs.qc.ca";"www.csdn.qc.ca/batelier";"Capit.-Nation. et Chaud.-App.";"Chaudière-Appalaches";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 839-0500";"32005";"(418) 839-9855";"1172, boulevard de la Rive-Sud";"Lévis";"Québec";"G6W 5M6";"1172, boulevard de la Rive-Sud";"Lévis";"Québec";"G6W 5M6";"Lévis";"25213";"Directeur";"Directeur";"";"M.";"Boulanger";"Pierre";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"772302";"CEA des Portages-de-l'Outaouais";"Centre d'éducation des adultes des Portages-de-l'Outaouais";"772000";"CS des Portages-de-l'Outaouais";"";"";"Outaouais";"Outaouais";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 771-7620";"";"(819) 771-1635";"30, boulevard Saint-Raymond";"Gatineau";"Québec";"J8Y 4S8";"30, boulevard Saint-Raymond";"Gatineau";"Québec";"J8Y 4S8";"Hull";"81017";"Directeur";"Directrice";"Directrice";"Mme.";"Leroux";"Carole";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"753305";"CEA des Sommets";"Centre d'éducation des adultes des Sommets";"753000";"CS des Sommets";"ceamagog@csdessommets.qc.ca";"http://www.csdessommets.qc.ca/ecoles/CEAMAGOG/index.htm";"Estrie";"Estrie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 847-1610";"14001";"(819) 843-3837";"277, rue Saint-Patrice Ouest";"Magog";"Québec";"J1X 1W4";"277, rue Saint-Patrice Ouest";"Magog";"Québec";"J1X 1W4";"Orford";"45072";"Directeur";"";"";"M.";"Girard";"Jacques";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"769330";"CEA Tasiujaq";"Centre d'éducation des adultes de Tasiujaq";"769000";"CS Kativik";"charlotte_angnatuk@kativik.qc.ca";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 633-9955";"";"(819) 633-5020";"Tasiujaq";"Tasiujaq";"Québec";"J0M 1T0";"Tasiujaq";"Tasiujaq";"Québec";"J0M 1T0";"Ungava";"99100";"Directeur";"Directrice";"Dir";"Mme.";"Angnatuk";"Charlotte";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"882313";"CEA de Wakeham";"Centre d'éducation des adultes de Wakeham";"882000";"CS Eastern Shores";"richard.jalbert@essb.qc.ca";"";"Bas-St-Laurent Gasp. Île-Mad.";"Gaspésie--Îles-de-la-Madeleine";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 368-3376";"222";"(418) 368-2101";"584, Montée Wakeham";"Gaspé";"Québec";"G4X 2R7";"584, Montée Wakeham";"Gaspé";"Québec";"G4X 2R7";"Gaspé";"03005";"Directeur";"";"";"M.";"Jalbert";"Richard";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"769390";"CEA Ivujivik";"Centre d'éducation des adultes d'Ivujivik";"769000";"CS Kativik";"";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 922-9917";"";"";"Ivujivik";"Ivujivik";"Québec";"J0M 1H0";"Ivujivik";"Ivujivik";"Québec";"J0M 1H0";"Ungava";"99140";"";"";"";"";"";"";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"741302";"Centre éduc.des adultes du Chemin-du-Roy";"Centre d'éducation des adultes du Chemin-du-Roy";"741000";"CS du Chemin-du-Roy";"csfx.ped@csduroy.qc.ca";"http://www.csduroy.qc.ca/Sea/index.html";"Mauricie Centre-du-Québec";"Mauricie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 379-8714";"";"(819) 379-9129";"3750, rue Jean-Bourdon";"Trois-Rivières";"Québec";"G8Y 2A5";"3750, rue Jean-Bourdon";"Trois-Rivières";"Québec";"G8Y 2A5";"Trois-Rivières";"37067";"Directeur";"Directrice";"Directrice";"Mme.";"Hamel";"Marie";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"713308";"CEA du Fleuve-et-des-Lacs";"Centre d'éducation des adultes du Fleuve-et-des-Lacs";"713000";"CS du Fleuve-et-des-Lacs";"roylo@csfl.qc.ca";"http://www.csfl.qc.ca";"Bas-St-Laurent Gasp. Île-Mad.";"Bas-Saint-Laurent";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 854-0720";"2300";"(418) 854-0844";"30-B, rue Bérubé";"Témiscouata-sur-le-Lac";"Québec";"G0L 1E0";"30-B, rue Bérubé";"Témiscouata-sur-le-Lac";"Québec";"G0L 1E0";"Rivière-du-Loup--Témiscouata";"13073";"Directeur";"Directrice de centre de la formation générale des adultes et de la formation professionnelle";"";"Mme.";"Roy";"Louise";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"867340";"CEA du Goéland";"Centre d'éducation des adultes du Goéland (FGA)";"867000";"CS des Grandes-Seigneuries";"ceag@csdgs.qc.ca";"http://www.csdgs.qc.ca/";"Montérégie";"Montérégie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 380-8899";"4903";"(514) 380-2039";"397, rue Conrad-Pelletier";"La Prairie";"Québec";"J5R 4V1";"397, rue Conrad-Pelletier";"La Prairie";"Québec";"J5R 4V1";"La Prairie";"67015";"Directeur";"Directrice de centre";"Directrice";"Mme.";"Payette";"Manon";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"867440";"CEA du Goéland (F.P.)";"Centre d'éducation des adultes du Goéland (FP)";"867000";"CS des Grandes-Seigneuries";"ceag@csdgs.qc.ca";"http://www.csdgs.qc.ca";"Montérégie";"Montérégie";"Formation professionnelle";"Public";"Centre de formation prof.";"(514) 380-8899";"4901";"(514) 380-2039";"397, rue Conrad-Pelletier";"La Prairie";"Québec";"J5R 4V1";"397, rue Conrad-Pelletier";"La Prairie";"Québec";"J5R 4V1";"La Prairie";"67015";"Directeur";"Directrice de centre";"Directrice";"Mme.";"Payette";"Manon";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";"Non";"Non";
"887331";"CEA High School de Montréal";"Centre d'éducation des adultes du High School de Montréal";"887000";"CS English-Montréal";"hsm@emsb.qc.ca";"";"Montréal";"Montréal";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 788-5937";"";"(514) 788-5955";"3711, rue de Bullion";"Montréal";"Québec";"H2X 3A2";"3711, rue de Bullion";"Montréal";"Québec";"H2X 3A2";"Sainte-Marie--Saint-Jacques";"66023";"Directeur";"Directeur";"";"M.";"Fagan";"Ben";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"769313";"CEA Umiujaq";"Centre d'éducation des adultes D'Umiujaq";"769000";"CS Kativik";"";"";"Montréal";"Nord-du-Québec";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 331-7060";"";"(819) 331-7025";"Umiujaq";"Umiujaq";"Québec";"J0M 1Y0";"Umiujaq";"Umiujaq";"Québec";"J0M 1Y0";"Ungava";"99080";"";"";"";"";"";"";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Oui";
"742352";"CEA du Saint-Maurice";"Centre d'éducation des adultes du Saint-Maurice";"742000";"CS de l'Énergie";"";"http://www.csenergie.qc.ca/ceast-m/";"Mauricie Centre-du-Québec";"Mauricie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(819) 536-2820";"";"(819) 539-1945";"1092, rue Trudel";"Shawinigan";"Québec";"G9N 4N5";"1092, rue Trudel";"Shawinigan";"Québec";"G9N 4N5";"Saint-Maurice";"36033";"Directeur";"";"";"Mme.";"Magny";"Patricia";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"791352";"CEA Édifice Albert-Deschênes";"Centre d'éducation des adultes - Édifice Albert-Deschênes";"791000";"CS de l'Estuaire";"julie.campagna@csestuaire.qc.ca";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 589-0867";"";"(418) 589-1358";"600, rue Jalbert";"Baie-Comeau";"Québec";"G5C 1Z9";"600, rue Jalbert";"Baie-Comeau";"Québec";"G5C 1Z9";"René-Lévesque";"96020";"Directeur";"Directrice";"";"Mme.";"Campagna";"Julie";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"689318";"CEA Gabriel-Dionne";"Centre d'éducation des adultes Gabriel-Dionne";"689000";"CS du Littoral";"";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 461-2745";"";"(418) 461-2748";"Tête-à-la-Baleine";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 2W0";"Tête-à-la-Baleine";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 2W0";"Duplessis";"98015";"Directeur";"Directeur des centres d'éducation aux adultes";"";"M.";"Joncas";"Vincent";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"887330";"CEA Galileo";"Centre d'éducation des adultes Galileo";"887000";"CS English-Montréal";"galileoadult@emsb.qc.ca";"";"Montréal";"Montréal";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 721-0120";"";"(514) 721-0827";"10921, avenue Gariépy";"Montréal-Nord";"Québec";"H1H 4C6";"10921, avenue Gariépy";"Montréal-Nord";"Québec";"H1H 4C6";"Bourassa-Sauvé";"66020";"Directeur";"Directrice";"";"Mme.";"Schiavone";"Martina";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"689307";"CEA Harrington";"Centre d'éducation des adultes Harrington";"689000";"CS du Littoral";"";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 461-2745";"";"(418) 461-2748";"Harrington Harbour";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 1N0";"Harrington Harbour";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 1N0";"Duplessis";"98015";"Directeur";"Directeur des centres d'éducation aux adultes";"";"M.";"Joncas";"Vincent";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"721301";"CEA Henri-Bourassa/Le Parcours";"Centre d'éducation des adultes Henri-Bourassa/Le Parcours";"721000";"CS du Pays-des-Bleuets";"gauthierca@cspaysbleuets.qc.ca";"http://www.cspaysbleuets.qc.ca/ecoles/roberval/fp2002/";"Saguenay  Lac-Saint-Jean";"Saguenay--Lac-Saint-Jean";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 276-3445";"4700";"(418) 276-2198";"1840, rue Provencher";"Dolbeau-Mistassini";"Québec";"G8L 2A6";"1840, rue Provencher";"Dolbeau-Mistassini";"Québec";"G8L 2A6";"Roberval";"92022";"Directeur";"Directeur";"";"M.";"Gauthier";"Carl";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"887332";"CEA James Lyng";"Centre d'éducation des adultes James Lyng";"887000";"CS English-Montréal";"jameslyngadult@emsb.qc.ca";"";"Montréal";"Montréal";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 846-0019";"";"(514) 846-1449";"5440, rue Notre Dame Ouest";"Montréal";"Québec";"H4C 1T9";"5440, rue Notre Dame Ouest";"Montréal";"Québec";"H4C 1T9";"Saint-Henri--Sainte-Anne";"66023";"Directeur";"";"";"Mme.";"Spagnolo";"Angela";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"763306";"CEA Jeanne-Sauvé";"Centre d'éducation des adultes Jeanne-Sauvé";"763000";"CS Marguerite-Bourgeoys";"direction.centre_jeanne-sauve@csmb.qc.ca";"http://www2.csmb.qc.ca/cjs/";"Montréal";"Montréal";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 855-4195";"";"(514) 636-0838";"305, avenue Mimosa";"Dorval";"Québec";"H9S 3K5";"305, avenue Mimosa";"Dorval";"Québec";"H9S 3K5";"Marquette";"66087";"Directeur";"Directrice";"Directrice";"Mme.";"Gratton";"Johanne";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"887336";"Centre d'education des adultes Saint Piu";"Centre d'éducation des adultes John F. Kennedy";"887000";"CS English-Montréal";"";"";"Montréal";"Montréal";"Éducation des adultes";"Public";"Centre éducation des adultes";"(514) 374-2888";"";"(514) 374-2226";"3030  rue Villeray";"Montréal";"Québec";"H2A 1E7";"3030  rue Villeray";"Montréal";"Québec";"H2A 1E7";"Viau";"66023";"Directeur";"";"directeur";"M.";"David";"Richard";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";"Oui";"Non";
"689309";"CEA Kegaska";"Centre d'éducation des adultes Kegaska";"689000";"CS du Littoral";"";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 461-2745";"";"(418) 461-2748";"Kegaska";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 1S0";"Kegaska";"Côte-Nord-du-Golfe-du-Saint-Laurent";"Québec";"G0G 1S0";"Duplessis";"98015";"Directeur";"Directeur des centres d'éducation aux adultes";"";"M.";"Joncas";"Vincent";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"813302";"CEA La Ramille";"Centre d'éducation des adultes La Ramille";"813000";"CS René-Lévesque";"centre.grdv@csrl.net";"http://www.csrl.qc.ca";"Bas-St-Laurent Gasp. Île-Mad.";"Gaspésie--Îles-de-la-Madeleine";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 385-3499";"7000";"(418) 385-2195";"134, La Grande-Allée Est";"Grande-Rivière";"Québec";"G0C 1V0";"134, La Grande-Allée Est";"Grande-Rivière";"Québec";"G0C 1V0";"Gaspé";"02015";"Directeur";"Directrice education des adultes et FP";"Directrice CEA et CFP";"Mme.";"Lepage";"Christine";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"863358";"CEA La Relance";"Centre d'éducation des adultes La Relance";"863000";"CS des Hautes-Rivières";"celarelance@csdhr.qc.ca";"";"Montérégie";"Montérégie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(450) 348-2303";"";"(450) 348-7174";"300, rue Georges-Phaneuf";"Saint-Jean-sur-Richelieu";"Québec";"J3B 8E4";"300, rue Georges-Phaneuf";"Saint-Jean-sur-Richelieu";"Québec";"J3B 8E4";"Saint-Jean";"56083";"Directeur";"Directrice";"";"Mme.";"Pratte";"Dominique";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"864338";"CEA le Bac";"Centre d'éducation des adultes le Bac";"864000";"CS Marie-Victorin";"centre_lebac@csmv.qc.ca";"";"Montérégie";"Montérégie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(450) 679-9100";"";"(450) 679-0742";"1330, boul. Curé-Poirier Ouest";"Longueuil";"Québec";"J4K 2G8";"1330, boul. Curé-Poirier Ouest";"Longueuil";"Québec";"J4K 2G8";"Marie-Victorin";"58227";"Directeur";"Directrice de l'école secondaire Gérard-Filion";"Directrice";"Mme.";"Dupuis";"Sylvie";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"864383";"CEA LeMoyne-D'Iberville";"Centre d'éducation des adultes LeMoyne-D'Iberville";"864000";"CS Marie-Victorin";"centre_lemoyne_diberville@csmv.qc.ca";"http://educ.csmv.qc.ca/centre_lemoyne_diberville/";"Montérégie";"Montérégie";"Éducation des adultes";"Public";"Centre éducation des adultes";"(450) 670-3130";"2705";"";"560, rue Lemoyne Ouest";"Longueuil";"Québec";"J4H 1X3";"560, rue Lemoyne Ouest";"Longueuil";"Québec";"J4H 1X3";"Marie-Victorin";"58227";"Directeur";"Directrice de CEA LeMoyne-D'Iberville";"Directrice";"Mme.";"Leclair";"Rachel";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"721302";"CEA L'Envol/Le Retour";"Centre d'éducation des adultes L'Envol/Le Retour";"721000";"CS du Pays-des-Bleuets";"GauthierCa@cspaysbleuets.qc.ca";"http://www.cspaysbleuets.qc.ca/ecoles/roberval/fp2002/";"Saguenay  Lac-Saint-Jean";"Saguenay--Lac-Saint-Jean";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 275-5130";"1700";"(418) 275-3165";"654, boulevard Saint-Joseph";"Roberval";"Québec";"G8H 2L2";"654, boulevard Saint-Joseph";"Roberval";"Québec";"G8H 2L2";"Roberval";"91025";"Directeur";"Directeur";"";"M.";"Gauthier";"Carl";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"792368";"CEA Le Relais du Nord";"Centre d'éducation des adultes Le Relais du Nord";"792000";"CS du Fer";"";"";"Côte-Nord";"Côte-Nord";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 766-7070";"2826";"(418) 766-6258";"Chemin de l'Aéroport Case postale 7070";"Port-Cartier";"Québec";"G5B 2W2";"Chemin de l'Aéroport Case postale 7070";"Port-Cartier";"Québec";"G5B 2W2";"Duplessis";"97022";"Directeur";"directeur du Centre d'éducation des adultes et de la formation professionnelle";"directeur";"M.";"Gagnon";"Paul";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"831350";"CEA Les Berges";"Centre d'éducation des adultes Les Berges";"831000";"CS de Laval";"les-berges@cslaval.qc.ca";"http://www.cslaval.qc.ca/LesBerges/";"Laval Laurentides Lanaudière";"Laval";"Éducation des adultes";"Public";"Centre éducation des adultes";"(450) 662-7000";"3199";"(450) 686-6170";"3730, boulevard Lévesque Ouest";"Laval";"Québec";"H7V 1E8";"3730, boulevard Lévesque Ouest";"Laval";"Québec";"H7V 1E8";"Chomedey";"65005";"Directeur";"Directrice";"Directrice";"Mme.";"Ouimette";"Maryse";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
"822355";"CEA l'Escale";"Centre d'éducation des adultes l'Escale";"822000";"CS des Appalaches";"escalecsa@csappalaches.qc.ca";"http://www.csappalches.qc.ca";"Capit.-Nation. et Chaud.-App.";"Chaudière-Appalaches";"Éducation des adultes";"Public";"Centre éducation des adultes";"(418) 338-7800";"2107";"(418) 338-4630";"1265, rue Notre-Dame Est";"Thetford Mines";"Québec";"G6G 2V3";"1265, rue Notre-Dame Est";"Thetford Mines";"Québec";"G6G 2V3";"Lotbinière-Frontenac";"31084";"Directeur";"";"";"M.";"Dunn";"Marc";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";"Oui";"Oui";"Non";
